Player,SH,SOG,G,A,MIN,DATE
"Perez, Juan",0,0,0,0,90,September 9 2023
"Murphy, Niall",3,2,1,0,86,September 9 2023
"Cubeddu, Ignacio",2,0,0,0,77,September 9 2023
"Novak, Jonny",0,0,0,0,90,September 9 2023
"McCarthy, Wyatt",0,0,0,0,60,September 9 2023
"Valadez Bush, Micah",0,0,0,0,65,September 9 2023
"Nuhu, Mohammed",2,2,0,0,57,September 9 2023
"Clark-Eden, Ben",1,0,0,0,90,September 9 2023
"Okorogheye, Ada",1,0,0,1,75,September 9 2023
"Hayton-Ruffner, Fynn",3,1,0,0,55,September 9 2023
"Kalinauskas, Simon",0,0,0,0,90,September 9 2023
"King, Ben",0,0,0,0,9,September 9 2023
"Tremante, Andrew",0,0,0,0,2,September 9 2023
"Sung, Declan",1,1,0,0,48,September 9 2023
"Trott, Adrian",0,0,0,0,3,September 9 2023
"Rapal, Shawn",1,0,0,0,39,September 9 2023
"Hadjiyiannis, Ioannis",0,0,0,0,2,September 9 2023
"Ohadike, Luka",0,0,0,0,9,September 9 2023
"Gomez, Ryan",0,0,0,0,44,September 9 2023
"Landa, Max",0,0,0,0,90,September 19 2023
"King, Ben",0,0,0,0,44,September 19 2023
"ten Cate, Laurens",0,0,0,0,90,September 19 2023
"Street, James",0,0,0,0,31,September 19 2023
"Sung, Declan",3,2,0,0,57,September 19 2023
"Trott, Adrian",0,0,0,0,19,September 19 2023
"Rapal, Shawn",3,2,1,0,55,September 19 2023
"Nuhu, Mohammed",3,2,0,0,68,September 19 2023
"Clark-Eden, Ben",2,1,0,0,90,September 19 2023
"Okorogheye, Ada",1,0,0,1,77,September 19 2023
"Kalinauskas, Simon",0,0,0,0,90,September 19 2023
"Cubeddu, Ignacio",5,2,0,0,55,September 19 2023
"Priddy, Riley",0,0,0,0,59,September 19 2023
"McCarthy, Wyatt",0,0,0,0,57,September 19 2023
"Valadez Bush, Micah",1,1,0,0,49,September 19 2023
"Hayton-Ruffner, Fynn",2,1,0,0,59,September 19 2023
"Perez, Juan",0,0,0,0,90,September 13 2023
"Arizmendi, Daniel",0,0,0,0,81,September 13 2023
"Sung, Declan",1,0,0,1,47,September 13 2023
"Cubeddu, Ignacio",1,0,0,0,42,September 13 2023
"Priddy, Riley",4,1,1,0,90,September 13 2023
"Nuhu, Mohammed",1,1,1,0,55,September 13 2023
"Clark-Eden, Ben",0,0,0,0,44,September 13 2023
"Okorogheye, Ada",2,0,0,1,42,September 13 2023
"Hayton-Ruffner, Fynn",4,2,0,0,54,September 13 2023
"Kalinauskas, Simon",2,1,1,0,45,September 13 2023
"Gomez, Ryan",0,0,0,0,79,September 13 2023
"Landa, Max",0,0,0,0,45,September 13 2023
"King, Ben",1,1,0,0,54,September 13 2023
"Selvenis, Ugnius",1,0,0,0,11,September 13 2023
"Street, James",0,0,0,0,45,September 13 2023
"Murphy, Niall",0,0,0,0,60,September 13 2023
"Tremante, Andrew",0,0,0,0,48,September 13 2023
"Liu, Lucas",0,0,0,0,17,September 13 2023
"McCarthy, Wyatt",0,0,0,0,45,September 13 2023
"Trott, Adrian",0,0,0,0,46,September 13 2023
"Hadjiyiannis, Ioannis",2,1,0,1,56,September 13 2023
"Gonya, Carter",0,0,0,0,0,September 13 2023
"Ohadike, Luka",0,0,0,0,48,September 13 2023
"Landa, Max",0,0,0,0,90,September 17 2023
"ten Cate, Laurens",1,0,0,0,55,September 17 2023
"Murphy, Niall",0,0,0,0,77,September 17 2023
"Cubeddu, Ignacio",1,1,0,0,65,September 17 2023
"Priddy, Riley",0,0,0,0,40,September 17 2023
"Valadez Bush, Micah",0,0,0,0,90,September 17 2023
"Nuhu, Mohammed",2,1,1,0,57,September 17 2023
"Clark-Eden, Ben",1,1,0,0,90,September 17 2023
"Okorogheye, Ada",1,1,1,0,90,September 17 2023
"Hayton-Ruffner, Fynn",0,0,0,0,63,September 17 2023
"Kalinauskas, Simon",2,1,0,0,90,September 17 2023
"Arizmendi, Daniel",0,0,0,0,4,September 17 2023
"Sung, Declan",1,1,0,0,49,September 17 2023
"McCarthy, Wyatt",0,0,0,0,49,September 17 2023
"Rapal, Shawn",0,0,0,0,31,September 17 2023
"Gomez, Ryan",0,0,0,0,50,September 17 2023
"Landa, Max",0,0,0,0,90,September 23 2023
"ten Cate, Laurens",1,1,1,0,50,September 23 2023
"Cubeddu, Ignacio",3,1,0,2,73,September 23 2023
"McCarthy, Wyatt",0,0,0,0,62,September 23 2023
"Valadez Bush, Micah",0,0,0,0,84,September 23 2023
"Nuhu, Mohammed",4,2,0,0,53,September 23 2023
"Clark-Eden, Ben",0,0,0,0,62,September 23 2023
"Okorogheye, Ada",0,0,0,0,59,September 23 2023
"Hayton-Ruffner, Fynn",3,0,0,0,34,September 23 2023
"Kalinauskas, Simon",0,0,0,1,88,September 23 2023
"Gomez, Ryan",1,0,0,0,55,September 23 2023
"King, Ben",0,0,0,0,39,September 23 2023
"Arizmendi, Daniel",0,0,0,0,37,September 23 2023
"Selvenis, Ugnius",0,0,0,0,2,September 23 2023
"Street, James",0,0,0,0,28,September 23 2023
"Tremante, Andrew",0,0,0,1,8,September 23 2023
"Sung, Declan",1,0,0,1,38,September 23 2023
"Priddy, Riley",0,0,0,0,45,September 23 2023
"Liu, Lucas",0,0,0,0,3,September 23 2023
"Trott, Adrian",0,0,0,0,6,September 23 2023
"Rapal, Shawn",2,2,1,0,40,September 23 2023
"Hadjiyiannis, Ioannis",2,2,2,0,31,September 23 2023
"Gonya, Carter",0,0,0,0,3,September 23 2023
"Landa, Max",0,0,0,0,45,September 24 2023
"King, Ben",0,0,0,0,90,September 24 2023
"Arizmendi, Daniel",0,0,0,0,70,September 24 2023
"Sung, Declan",0,0,0,1,52,September 24 2023
"Cubeddu, Ignacio",4,2,1,1,89,September 24 2023
"Priddy, Riley",0,0,0,0,90,September 24 2023
"McCarthy, Wyatt",0,0,0,1,50,September 24 2023
"Rapal, Shawn",0,0,0,0,30,September 24 2023
"Okorogheye, Ada",2,2,1,0,53,September 24 2023
"Kalinauskas, Simon",2,2,2,0,60,September 24 2023
"Perez, Juan",0,0,0,0,45,September 24 2023
"ten Cate, Laurens",0,0,0,0,20,September 24 2023
"Street, James",0,0,0,0,41,September 24 2023
"Tremante, Andrew",0,0,0,0,56,September 24 2023
"Liu, Lucas",0,0,0,0,8,September 24 2023
"Trott, Adrian",0,0,0,0,26,September 24 2023
"Valadez Bush, Micah",0,0,0,0,25,September 24 2023
"Hadjiyiannis, Ioannis",0,0,0,0,33,September 24 2023
"Nuhu, Mohammed",1,0,0,1,66,September 24 2023
"Ohadike, Luka",0,0,0,0,29,September 24 2023
"Landa, Max",0,0,0,0,90,September 27 2023
"ten Cate, Laurens",2,1,0,0,80,September 27 2023
"Cubeddu, Ignacio",0,0,0,0,65,September 27 2023
"Priddy, Riley",1,0,0,0,90,September 27 2023
"McCarthy, Wyatt",0,0,0,1,69,September 27 2023
"Valadez Bush, Micah",0,0,0,0,73,September 27 2023
"Nuhu, Mohammed",1,1,0,0,37,September 27 2023
"Clark-Eden, Ben",0,0,0,0,62,September 27 2023
"Okorogheye, Ada",1,0,0,0,79,September 27 2023
"Hayton-Ruffner, Fynn",1,0,0,0,56,September 27 2023
"Kalinauskas, Simon",1,1,0,0,90,September 27 2023
"Murphy, Niall",4,2,1,0,54,September 27 2023
"Sung, Declan",0,0,0,0,43,September 27 2023
"Liu, Lucas",0,0,0,0,0,September 27 2023
"Rapal, Shawn",0,0,0,1,42,September 27 2023
"Hadjiyiannis, Ioannis",0,0,0,0,4,September 27 2023
"Gomez, Ryan",1,1,0,0,55,September 27 2023
"Landa, Max",0,0,0,0,90,September 30 2023
"ten Cate, Laurens",0,0,0,0,90,September 30 2023
"Murphy, Niall",3,3,0,0,83,September 30 2023
"Sung, Declan",2,0,0,0,47,September 30 2023
"Priddy, Riley",2,1,0,0,90,September 30 2023
"McCarthy, Wyatt",0,0,0,0,90,September 30 2023
"Rapal, Shawn",0,0,0,0,74,September 30 2023
"Nuhu, Mohammed",1,0,0,0,78,September 30 2023
"Okorogheye, Ada",2,2,1,0,29,September 30 2023
"Kalinauskas, Simon",1,1,0,0,90,September 30 2023
