Player,SH,SOG,G,A,MIN,DATE
"Fickes, LuLu",0,0,0,0,90,September 6 2023
"Schwartz, Abby",2,1,0,1,51,September 6 2023
"Kum, Patience",3,3,1,0,50,September 6 2023
"Huang, Charlotte",2,1,0,0,52,September 6 2023
"Johnson, Ella",0,0,0,0,51,September 6 2023
"Katz, Liza",0,0,0,0,14,September 6 2023
"Rosado, Sierra",0,0,0,0,43,September 6 2023
"Huynh, Alyssa",2,1,1,1,67,September 6 2023
"Ingemi, Brooke",2,1,1,2,45,September 6 2023
"Hollingsworth, Carter",0,0,0,0,51,September 6 2023
"Bernet, Fiona",1,1,1,0,58,September 6 2023
"Novidzro, Precious",1,0,0,2,45,September 6 2023
"Deegan, Ally",2,2,2,1,52,September 6 2023
"Golden, Gigi",0,0,0,0,38,September 6 2023
"Haynes, Sophia",0,0,0,0,39,September 6 2023
"Quigley, Kate",1,0,0,0,24,September 6 2023
"O'Reilly, Katie",0,0,0,0,25,September 6 2023
"McDonald, Catherine",0,0,0,0,25,September 6 2023
"McGuire, Charlotte",0,0,0,0,35,September 6 2023
"Preuss, Sofia",0,0,0,0,48,September 6 2023
"Button, Becca",0,0,0,0,14,September 6 2023
"Hanna, Halle",3,3,0,0,18,September 6 2023
"Pedersen, Katie",0,0,0,0,19,September 6 2023
"Lomo, Jessica",1,0,0,0,39,September 6 2023
"Fisher, Mika",0,0,0,0,90,September 9 2023
"Schwartz, Abby",1,0,0,0,70,September 9 2023
"Kum, Patience",0,0,0,0,50,September 9 2023
"Huang, Charlotte",2,0,0,0,90,September 9 2023
"Johnson, Ella",0,0,0,0,74,September 9 2023
"Katz, Liza",1,1,0,1,46,September 9 2023
"Rosado, Sierra",2,2,0,0,68,September 9 2023
"Huynh, Alyssa",0,0,0,0,74,September 9 2023
"Ingemi, Brooke",1,0,0,0,60,September 9 2023
"Hollingsworth, Carter",1,1,0,0,70,September 9 2023
"Bernet, Fiona",2,1,1,0,90,September 9 2023
"Novidzro, Precious",1,0,0,0,30,September 9 2023
"Deegan, Ally",0,0,0,0,40,September 9 2023
"Haynes, Sophia",0,0,0,0,32,September 9 2023
"Quigley, Kate",0,0,0,0,16,September 9 2023
"O'Reilly, Katie",0,0,0,0,14,September 9 2023
"McGuire, Charlotte",0,0,0,0,15,September 9 2023
"Pedersen, Katie",0,0,0,0,12,September 9 2023
"Lomo, Jessica",1,1,1,0,49,September 9 2023
"Fisher, Mika",0,0,0,0,90,September 10 2023
"Huang, Charlotte",0,0,0,0,25,September 10 2023
"Johnson, Ella",0,0,0,0,40,September 10 2023
"Katz, Liza",0,0,0,0,48,September 10 2023
"Rosado, Sierra",0,0,0,0,65,September 10 2023
"Haynes, Sophia",0,0,0,0,90,September 10 2023
"Hollingsworth, Carter",2,1,0,0,90,September 10 2023
"Bernet, Fiona",0,0,0,0,90,September 10 2023
"Lomo, Jessica",0,0,0,1,21,September 10 2023
"Fickes, LuLu",0,0,0,0,0,September 10 2023
"Schwartz, Abby",3,2,0,0,69,September 10 2023
"Kum, Patience",3,2,0,0,42,September 10 2023
"Novidzro, Precious",4,1,1,0,42,September 10 2023
"Deegan, Ally",0,0,0,0,16,September 10 2023
"Golden, Gigi",0,0,0,0,19,September 10 2023
"Huynh, Alyssa",3,1,0,0,16,September 10 2023
"Ingemi, Brooke",1,0,0,0,39,September 10 2023
"O'Reilly, Katie",1,0,0,0,25,September 10 2023
"McDonald, Catherine",0,0,0,0,17,September 10 2023
"McGuire, Charlotte",0,0,0,0,0,September 10 2023
"Preuss, Sofia",0,0,0,0,56,September 10 2023
"Button, Becca",0,0,0,0,14,September 10 2023
"Hanna, Halle",1,0,0,0,12,September 10 2023
"Pedersen, Katie",0,0,0,0,65,September 10 2023
"Fisher, Mika",0,0,0,0,21,September 14 2023
"Schwartz, Abby",3,2,0,2,34,September 14 2023
"Kum, Patience",4,3,3,0,28,September 14 2023
"Huang, Charlotte",0,0,0,0,28,September 14 2023
"Johnson, Ella",0,0,0,0,21,September 14 2023
"Rosado, Sierra",1,0,0,0,34,September 14 2023
"Huynh, Alyssa",2,2,0,1,28,September 14 2023
"Ingemi, Brooke",2,1,1,0,49,September 14 2023
"Hollingsworth, Carter",0,0,0,1,52,September 14 2023
"Bernet, Fiona",1,0,0,0,28,September 14 2023
"Lomo, Jessica",1,1,1,0,34,September 14 2023
"Besch, Katya",0,0,0,0,49,September 14 2023
"Fickes, LuLu",0,0,0,0,20,September 14 2023
"Novidzro, Precious",1,1,0,0,41,September 14 2023
"Deegan, Ally",3,2,1,0,32,September 14 2023
"Golden, Gigi",1,1,1,0,62,September 14 2023
"Katz, Liza",6,3,1,3,52,September 14 2023
"Haynes, Sophia",1,1,0,0,40,September 14 2023
"Quigley, Kate",1,1,0,0,41,September 14 2023
"O'Reilly, Katie",0,0,0,0,33,September 14 2023
"McDonald, Catherine",1,0,0,0,38,September 14 2023
"McGuire, Charlotte",0,0,0,0,54,September 14 2023
"Preuss, Sofia",0,0,0,0,62,September 14 2023
"Button, Becca",0,0,0,0,23,September 14 2023
"Hanna, Halle",3,1,1,0,38,September 14 2023
"Pedersen, Katie",1,0,0,0,48,September 14 2023
"Fisher, Mika",0,0,0,0,90,September 17 2023
"Schwartz, Abby",3,1,0,1,55,September 17 2023
"Kum, Patience",4,2,2,1,55,September 17 2023
"Huang, Charlotte",0,0,0,0,90,September 17 2023
"Johnson, Ella",0,0,0,0,83,September 17 2023
"Katz, Liza",1,1,0,0,48,September 17 2023
"Rosado, Sierra",0,0,0,0,90,September 17 2023
"Huynh, Alyssa",0,0,0,0,46,September 17 2023
"Ingemi, Brooke",1,1,1,0,65,September 17 2023
"Hollingsworth, Carter",0,0,0,0,46,September 17 2023
"Bernet, Fiona",0,0,0,0,83,September 17 2023
"Novidzro, Precious",0,0,0,0,28,September 17 2023
"Deegan, Ally",0,0,0,0,28,September 17 2023
"Haynes, Sophia",0,0,0,0,7,September 17 2023
"Quigley, Kate",0,0,0,0,62,September 17 2023
"O'Reilly, Katie",1,1,0,0,17,September 17 2023
"McDonald, Catherine",0,0,0,0,18,September 17 2023
"McGuire, Charlotte",0,0,0,1,14,September 17 2023
"Pedersen, Katie",1,1,1,0,23,September 17 2023
"Lomo, Jessica",0,0,0,1,42,September 17 2023
"Fisher, Mika",0,0,0,0,90,September 19 2023
"Schwartz, Abby",4,3,2,0,47,September 19 2023
"Kum, Patience",2,2,1,1,48,September 19 2023
"Huang, Charlotte",0,0,0,0,90,September 19 2023
"Johnson, Ella",1,0,0,0,77,September 19 2023
"Katz, Liza",2,2,0,0,44,September 19 2023
"Rosado, Sierra",2,0,0,0,75,September 19 2023
"Huynh, Alyssa",1,1,0,0,41,September 19 2023
"Ingemi, Brooke",0,0,0,0,54,September 19 2023
"Hollingsworth, Carter",0,0,0,0,50,September 19 2023
"Bernet, Fiona",3,2,0,1,84,September 19 2023
"Novidzro, Precious",2,1,1,0,43,September 19 2023
"Deegan, Ally",1,0,0,0,36,September 19 2023
"Golden, Gigi",0,0,0,0,15,September 19 2023
"Quigley, Kate",0,0,0,0,40,September 19 2023
"O'Reilly, Katie",3,3,0,1,41,September 19 2023
"McDonald, Catherine",0,0,0,0,7,September 19 2023
"McGuire, Charlotte",0,0,0,0,16,September 19 2023
"Preuss, Sofia",0,0,0,0,13,September 19 2023
