date,type
45161,training
45162,training
45163,training
45164,training
45165,training
45167,training
45168,training
45170,training
45171,training
45174,game
45176,training
45178,game
45180,training
45182,training
45186,game
45188,game
45190,training
45192,game
45193,game
45196,game
45197,training
45199,game
45202,game
45204,training
45206,game
45207,game
45210,training
45211,training
45212,training
45214,game
45217,training
45218,training
45220,game
45223,game
45224,training
45227,game
